Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
0,0,1,0,1,0,0,0,1,14,157500,62,5,2,4,4,1,4
0,1,1,0,0,1,0,0,2,42,157500,47,21,2,2,1,1,6
0,1,1,0,0,0,1,0,2,37,81000,53,0,1,4,1,1,12
0,0,0,0,0,0,1,0,2,21,112500,57,0,1,4,1,1,12
1,1,1,0,1,0,0,0,1,17,157500,29,3,4,4,3,1,8
1,1,0,1,0,0,0,0,2,54,247500,44,2,0,1,1,1,4
0,0,1,1,0,0,0,1,3,22,67500,41,2,4,4,1,1,3
0,0,0,0,1,0,1,0,1,39,72000,63,0,1,4,2,1,12
0,1,1,0,0,0,0,3,5,24,90000,28,6,4,1,1,1,11
0,1,0,1,1,0,0,0,2,36,202500,40,3,0,4,1,1,6
0,0,1,1,1,0,0,2,4,56,112500,38,1,4,4,1,1,8
0,1,0,0,0,0,0,0,2,48,121500,35,3,4,4,1,1,8
0,0,0,0,0,0,0,2,4,23,121500,32,1,4,1,1,1,5
1,0,1,1,1,0,0,0,2,40,166500,51,17,4,4,1,1,8
0,0,1,0,0,0,0,0,2,13,175950,56,5,4,4,1,1,12
1,1,1,0,1,0,0,0,2,30,418500,52,0,4,1,1,1,12
0,0,1,0,0,0,1,0,2,5,157500,55,0,1,4,1,1,12
0,0,1,0,0,0,0,0,1,32,171000,46,1,4,4,3,4,8
0,0,1,0,0,0,0,0,2,34,135000,44,5,0,4,1,1,15
0,0,1,0,0,0,1,0,2,13,99000,62,0,1,4,1,1,12
0,0,0,0,0,0,1,0,1,25,112500,60,0,1,4,4,1,12
0,0,0,1,1,0,0,0,2,51,211500,50,9,4,4,1,1,17
0,0,1,1,1,0,0,1,3,13,211500,34,2,4,4,1,1,3
0,0,0,1,1,0,0,0,2,25,112500,42,2,0,4,1,1,0
1,1,1,0,1,0,0,1,3,41,292500,45,12,4,4,1,1,8
0,0,1,0,0,0,0,1,3,43,90000,35,14,0,4,1,1,8
0,0,1,0,1,0,0,0,2,48,225000,44,23,2,4,1,1,12
0,0,0,0,0,0,0,0,2,18,180000,53,5,4,2,1,1,8
1,1,1,1,1,0,0,0,2,19,135000,52,1,4,1,0,1,8
1,1,1,0,0,0,0,0,2,31,247500,63,1,4,4,1,1,6
0,0,1,0,0,0,1,0,2,22,90000,60,0,1,4,1,1,12
0,0,0,0,0,0,1,0,2,3,76500,64,0,1,4,1,1,12
0,0,1,0,0,1,0,0,2,25,157500,30,5,0,1,1,1,10
0,0,1,1,0,0,0,0,2,0,148500,33,5,4,4,1,1,8
1,1,1,0,1,0,0,2,4,22,225000,32,3,4,4,1,1,8
0,0,0,0,0,0,1,0,2,3,157500,56,0,1,4,1,2,12
0,1,1,0,0,0,1,0,2,28,360000,64,0,1,4,1,2,12
0,0,0,0,0,1,0,0,1,15,135000,23,4,0,2,3,2,8
0,0,1,0,0,0,1,0,2,16,193500,56,0,1,1,1,1,12
0,0,1,0,1,0,1,0,2,34,117000,66,0,1,4,1,1,12
1,1,1,1,0,0,0,0,2,15,427500,32,12,4,1,0,4,12
0,1,0,0,0,0,0,2,4,27,157500,36,10,0,1,1,1,12
1,1,1,1,0,0,0,1,3,53,360000,32,10,4,1,1,1,10
0,0,1,0,0,0,0,0,2,40,103500,30,1,2,4,0,1,2
0,1,1,0,0,1,0,1,3,28,135000,30,1,4,1,1,1,15
0,0,1,0,0,1,0,0,1,12,310500,35,3,2,1,3,1,0
0,1,1,0,0,0,0,1,3,2,202500,45,6,4,4,1,1,8
0,1,1,0,0,0,0,1,3,13,225000,29,7,0,1,0,1,12
0,0,1,0,1,0,0,0,2,37,202500,59,19,4,1,1,1,3
0,0,1,0,0,0,1,0,2,37,126000,56,0,1,4,1,1,12
0,0,1,0,0,1,1,0,2,58,157500,55,0,1,4,1,1,12
1,1,1,0,0,0,1,0,2,15,225000,60,0,1,4,1,1,12
0,0,1,0,0,1,1,0,2,0,85500,67,0,1,4,1,1,12
0,0,0,0,0,0,1,0,2,23,90000,60,0,1,4,1,1,12
0,1,1,0,1,0,1,0,2,55,54000,55,0,1,4,1,1,12
0,0,1,1,0,0,0,2,4,55,157500,46,3,0,4,1,1,13
1,1,0,0,0,0,0,0,1,40,180000,30,2,4,1,3,1,8
1,1,1,0,1,1,0,1,2,12,180000,26,1,4,4,3,1,8
1,0,0,1,0,0,0,0,2,13,270000,56,1,4,4,0,1,2
0,0,0,0,0,0,1,0,2,56,112500,58,0,1,4,1,2,12
0,0,1,0,0,0,0,0,2,51,315000,61,40,4,4,1,1,11
0,0,1,0,0,0,0,0,2,41,337500,35,6,2,1,1,1,3
0,0,1,0,1,1,0,0,2,16,382500,45,9,4,1,1,1,12
1,1,0,1,0,0,0,0,2,13,166500,53,0,0,1,1,1,8
1,0,1,0,0,0,1,0,2,49,270000,46,0,1,4,1,1,12
0,0,1,0,1,0,1,0,2,42,45000,62,0,1,4,1,1,12
1,0,0,0,0,0,0,0,2,58,202500,50,9,4,4,1,2,8
0,0,0,0,1,0,1,0,2,8,135000,63,0,1,4,1,1,12
0,1,1,0,0,0,0,0,2,33,157500,28,0,4,1,1,1,15
0,0,0,1,1,0,0,1,2,20,144000,39,9,4,4,3,4,6
1,1,0,0,0,0,0,0,2,10,225000,29,1,4,2,0,1,17
1,0,0,0,0,0,0,0,2,11,247500,24,2,0,4,1,2,4
0,0,1,1,1,0,0,2,4,14,202500,43,17,4,4,1,1,11
1,1,1,0,1,1,0,1,3,48,270000,47,0,4,4,1,1,8
0,0,1,0,0,0,0,1,3,28,270000,57,10,4,4,1,1,3
1,1,1,0,0,0,0,0,2,17,270000,54,2,4,4,0,1,8
0,0,1,0,1,0,1,0,1,58,225000,57,0,1,4,2,1,12
1,1,1,0,0,0,0,4,6,24,292500,38,1,4,4,1,1,8
1,0,1,0,1,0,0,0,2,57,270000,37,10,4,1,1,1,10
1,0,1,0,0,0,0,0,2,57,135000,43,0,4,4,1,1,17
0,0,1,0,1,1,0,0,2,43,157500,49,4,4,4,0,1,15
0,0,0,0,0,0,0,0,1,31,67500,40,1,0,4,2,1,12
0,0,0,0,0,0,0,0,2,1,180000,27,1,4,1,1,1,0
1,1,1,0,0,0,0,0,2,9,126000,29,2,4,4,1,1,4
0,0,1,0,1,0,1,0,1,43,112500,62,0,1,4,4,1,12
0,1,1,0,0,0,1,0,1,5,144000,57,0,1,4,4,1,12
0,0,1,0,0,0,0,0,2,26,180000,52,11,4,1,1,1,15
0,0,1,0,0,1,0,1,3,37,67500,39,5,4,4,1,4,8
1,1,1,0,0,0,0,0,2,10,202500,34,5,4,1,1,1,12
0,0,0,1,1,0,0,0,2,45,170302,45,11,0,1,1,1,0
1,1,0,1,0,0,0,1,3,24,135000,30,4,4,4,1,1,10
0,1,1,0,0,0,0,1,3,11,135000,28,0,4,4,1,5,13
0,1,1,0,1,0,0,0,2,22,180000,56,19,4,1,1,1,8
0,0,1,0,0,0,0,0,1,22,157500,46,4,0,4,4,1,3
1,0,1,0,0,1,0,0,1,20,157500,32,8,0,4,3,1,8
1,0,0,0,1,0,0,0,2,35,180000,54,4,4,4,1,1,12
0,0,1,0,0,0,0,1,3,8,247500,29,2,0,2,1,1,0
0,0,1,0,0,0,1,0,1,40,180000,64,0,1,4,4,1,12
0,0,1,0,1,0,0,0,1,12,135000,53,0,0,1,3,1,12
0,0,1,0,1,0,1,0,2,17,360000,53,0,1,4,0,1,12
0,0,0,0,0,0,0,2,4,49,337500,30,5,4,4,1,1,3
0,1,1,0,0,0,1,0,1,2,90000,60,0,1,4,4,1,12
0,1,1,1,0,0,0,0,2,22,135000,33,4,0,4,1,1,3
1,1,1,1,0,0,0,0,2,6,211500,36,14,0,4,1,1,12
0,1,1,0,0,1,1,0,1,54,225000,60,0,1,4,4,1,12
0,0,1,0,0,0,0,0,2,21,135000,43,2,4,4,1,1,18
1,0,1,0,1,0,1,0,1,3,81000,65,0,1,4,4,1,12
1,1,0,1,0,0,0,0,2,15,225000,33,2,0,4,1,1,4
1,0,0,1,1,1,0,0,2,36,157500,38,7,4,4,1,1,13
1,1,1,0,0,1,0,3,5,5,135000,32,2,4,4,1,1,8
0,0,0,1,0,0,0,0,2,20,135000,29,2,4,4,1,1,12
0,0,1,1,1,0,0,0,1,32,90000,49,1,4,1,2,1,8
0,0,1,0,0,0,0,1,3,9,112500,39,14,4,4,1,2,8
1,1,0,0,0,0,0,0,1,12,157500,23,3,2,4,3,2,8
0,0,1,0,0,0,0,0,2,11,157500,48,29,2,4,1,1,12
0,1,0,0,0,0,1,0,2,30,112500,62,0,1,4,1,1,12
0,1,1,0,0,0,0,0,2,24,180000,45,6,0,4,1,1,15
1,1,1,0,0,0,0,0,1,52,225000,30,8,4,4,3,1,8
0,0,0,0,1,0,1,0,1,26,69750,60,0,1,4,4,2,12
0,0,1,0,0,0,0,0,1,22,225000,29,0,0,4,3,1,1
1,0,1,0,0,0,0,0,2,2,112500,52,16,4,4,1,1,8
0,1,1,0,0,0,0,0,2,53,238500,41,19,4,1,1,1,11
1,0,1,0,0,0,1,0,2,16,148500,56,0,1,4,1,1,12
1,1,0,0,1,0,0,2,4,48,427500,39,12,0,1,1,1,12
0,1,1,0,0,0,0,0,2,56,270000,37,2,2,1,1,1,3
1,1,0,0,0,0,0,0,1,49,180000,33,14,4,1,2,1,8
1,0,0,1,0,0,0,1,3,46,270000,27,1,4,4,1,1,10
1,1,1,0,1,1,0,2,4,56,225000,51,8,4,4,1,1,4
0,0,1,0,1,0,0,0,2,50,180000,49,1,4,4,0,1,15
0,0,0,1,1,0,0,0,2,10,225000,55,10,4,4,1,1,15
1,1,1,0,1,0,0,2,4,12,337500,38,2,0,4,1,1,4
1,0,1,0,0,0,0,0,2,36,270000,32,6,4,1,1,1,8
0,0,0,1,1,0,0,0,2,6,225000,50,2,4,4,1,1,0
0,1,0,1,0,0,0,0,2,49,189000,48,1,0,4,1,1,6
1,0,1,0,0,0,0,0,1,25,180000,27,2,0,4,3,5,10
0,0,0,0,0,0,0,1,2,54,270000,45,2,4,4,2,1,3
0,1,1,1,0,0,0,0,2,5,225000,31,9,4,1,1,1,12
0,1,0,0,0,0,0,0,1,15,900000,52,20,4,1,3,1,10
0,0,1,0,0,0,0,0,2,31,81000,51,27,4,4,0,1,12
0,1,1,0,0,1,0,0,2,15,202500,38,2,4,1,1,1,15
1,1,1,0,0,0,0,3,5,52,135000,42,13,0,4,1,1,4
0,1,0,0,1,0,0,0,2,7,225000,23,5,4,4,1,1,12
0,0,1,0,1,0,0,0,1,11,157500,51,1,4,4,3,1,15
0,0,0,0,1,0,1,0,1,14,85500,65,0,1,4,2,1,12
0,0,1,1,1,0,0,0,2,7,76500,42,0,4,4,1,1,18
0,0,0,1,1,0,0,0,2,21,270000,42,0,4,1,0,1,12
1,1,1,0,0,1,0,0,1,14,90000,29,3,4,4,3,1,4
0,1,1,1,1,0,0,0,2,36,144000,35,10,0,4,0,1,11
1,1,1,1,1,0,0,0,2,38,247500,42,3,4,4,1,1,4
0,0,1,0,0,0,0,0,2,6,90000,52,1,4,4,1,1,11
0,0,1,1,1,0,0,2,4,6,148500,33,2,4,4,1,1,15
0,1,1,0,0,0,0,0,2,54,202500,50,19,0,4,1,1,0
0,1,1,0,0,0,0,0,1,40,157500,51,0,0,4,3,1,15
0,1,1,1,0,0,0,0,2,55,247500,32,6,4,1,1,1,0
0,0,1,0,1,0,0,0,2,40,315000,48,1,0,1,1,1,16
1,1,1,0,0,0,1,0,2,2,247500,49,0,1,4,1,1,12
1,0,0,0,0,0,0,0,2,15,180000,40,10,0,4,1,1,8
0,0,1,1,0,0,0,0,2,31,90000,54,8,4,4,1,1,12
0,0,1,0,0,0,1,0,1,25,121500,66,0,1,1,4,1,12
0,0,1,0,1,0,0,0,1,34,101250,27,4,4,4,3,1,15
1,1,1,0,0,0,0,0,2,2,225000,53,15,4,1,1,1,10
1,1,1,0,0,0,0,0,2,56,90000,35,0,4,4,0,1,8
1,0,0,1,0,0,0,0,1,10,202500,41,22,4,4,3,1,8
0,0,1,0,1,0,1,0,2,35,270000,55,0,1,1,1,1,12
0,0,1,0,0,0,0,0,2,20,148500,48,2,4,1,1,1,3
0,0,1,0,1,0,0,0,1,19,90000,54,8,0,4,3,1,12
1,0,0,0,0,0,0,0,2,2,184500,22,0,0,4,0,5,12
0,0,1,0,0,0,0,0,2,26,103500,49,4,0,4,1,1,8
0,1,0,0,1,1,0,0,2,20,315000,37,9,4,1,1,1,0
0,1,0,0,0,0,1,0,2,42,72000,64,0,1,4,1,1,12
0,0,1,0,0,0,1,0,2,57,81000,57,0,1,4,1,1,12
0,0,1,0,0,0,0,1,1,37,126000,33,2,4,4,1,1,3
0,0,1,0,0,0,0,2,3,53,157500,37,3,4,4,2,1,8
1,1,0,0,0,0,0,2,4,46,202500,40,8,0,1,1,1,8
1,0,0,0,0,0,0,0,2,12,247500,32,7,2,4,1,1,3
1,1,1,1,0,0,0,0,1,5,135000,28,1,4,4,3,1,12
0,0,1,0,1,0,0,1,2,53,157500,42,0,0,4,2,1,8
0,0,1,0,0,0,0,0,2,38,180000,60,1,0,1,1,1,12
0,0,1,0,0,0,0,0,2,59,81000,42,15,4,4,1,1,9
0,1,0,0,0,1,0,1,3,7,112500,29,8,0,4,1,1,12
0,0,1,0,0,0,1,0,2,14,81000,56,0,1,4,1,1,12
1,1,1,0,0,0,0,1,3,38,427500,43,1,4,4,0,1,12
1,1,1,1,0,1,0,0,2,11,270000,29,2,0,4,0,1,12
0,0,1,0,0,0,0,1,3,23,135000,31,4,4,4,1,1,3
1,1,1,0,0,0,0,0,2,30,270000,29,1,4,1,1,1,4
1,1,1,0,0,0,0,0,1,44,135000,36,1,4,4,3,1,8
0,0,1,1,1,0,0,2,4,24,144000,43,8,0,4,0,1,15
1,0,0,0,0,0,0,0,1,13,225000,25,2,0,2,3,1,4
0,0,0,0,0,0,0,1,3,54,157500,30,4,0,1,1,1,6
0,0,1,0,0,0,1,0,2,21,90000,65,0,1,2,0,1,12
1,1,1,0,0,0,0,2,4,28,270000,40,0,4,4,1,1,4
0,0,1,0,0,0,0,0,1,25,405000,36,5,0,4,3,1,15
0,0,1,0,0,0,0,0,1,44,207000,53,5,0,4,3,1,15
1,1,0,1,0,0,0,0,2,31,247500,38,0,0,4,1,1,10
0,0,0,1,0,0,0,0,2,14,126000,42,6,4,4,1,1,8
1,1,0,0,0,1,0,0,1,37,225000,29,0,0,1,3,1,10
1,1,1,1,1,0,0,0,2,42,54000,54,2,4,4,1,1,17
1,0,1,1,0,0,0,0,1,50,103500,53,6,4,4,2,1,4
1,1,1,0,0,0,0,0,2,17,180000,44,22,0,4,1,1,3
0,0,1,0,0,0,0,0,2,16,193500,49,2,4,4,1,1,8
0,0,1,0,1,0,0,0,2,15,135000,35,4,4,1,1,1,3
1,0,1,1,1,1,0,0,2,30,162000,27,1,4,4,1,1,9
0,0,1,0,1,0,1,0,2,7,67500,61,0,1,4,1,1,12
0,0,1,0,0,0,1,0,2,44,40500,57,0,1,4,1,1,12
0,0,0,1,0,0,0,4,6,36,67500,36,0,0,4,1,1,15
1,0,1,0,0,1,0,0,2,41,337500,49,0,0,4,0,1,12
1,1,1,0,0,0,0,0,2,27,270000,31,10,2,4,1,1,3
0,0,0,1,0,0,0,0,2,51,135000,37,5,4,4,1,1,6
0,1,1,0,0,0,0,1,3,47,135000,40,12,4,1,1,1,10
0,1,1,0,0,0,1,0,2,8,211500,55,0,1,4,1,1,12
0,0,1,1,1,0,0,0,2,24,90000,43,7,4,1,1,1,3
0,0,1,0,0,0,0,1,3,27,67500,35,9,4,2,1,1,12
1,1,1,1,0,0,0,0,2,30,202500,29,3,4,4,0,1,8
1,1,1,0,0,0,0,0,2,3,180000,53,14,4,4,1,1,4
1,0,0,0,1,0,0,0,2,1,135000,27,9,4,3,0,1,9
0,0,0,0,0,0,0,1,3,46,157500,31,10,4,4,0,5,15
0,0,0,0,0,0,0,0,2,15,360000,42,9,4,4,1,1,12
1,0,0,0,0,1,0,0,2,36,225000,32,4,4,1,1,1,15
0,0,1,0,0,0,0,0,2,5,171000,50,10,4,1,1,1,6
0,1,0,1,1,0,0,0,2,40,112500,51,5,4,4,1,1,15
0,1,0,0,0,0,0,3,5,7,540000,36,4,4,1,1,1,8
1,1,1,0,0,0,0,0,2,57,468000,40,8,2,4,1,1,8
1,0,1,0,1,0,0,0,2,15,157500,43,2,4,4,1,1,12
0,0,1,1,0,0,0,0,2,0,180000,38,19,4,1,1,1,3
0,0,1,0,1,0,0,1,3,3,121500,44,2,4,4,1,1,15
1,1,1,0,0,0,0,0,1,17,225000,22,2,0,4,3,1,8
1,1,1,0,0,0,0,0,2,11,135000,48,1,0,1,0,1,3
1,1,1,0,0,0,0,1,3,60,180000,38,10,4,4,0,1,10
0,0,1,0,0,0,0,1,3,39,180000,41,6,4,4,1,1,8
1,1,1,1,0,0,0,0,2,49,270000,49,2,0,4,1,1,8
0,0,1,0,0,0,0,0,2,33,103500,35,6,4,1,1,1,12
0,0,1,0,0,0,1,0,2,47,99000,54,0,1,4,0,1,12
1,0,1,0,0,0,0,0,2,40,225000,56,0,0,4,1,1,4
1,0,1,0,0,1,0,0,1,0,135000,21,1,0,4,3,4,15
1,0,1,0,0,0,0,1,3,2,157500,34,1,4,4,1,1,15
0,0,1,0,1,1,1,0,1,4,112500,64,0,1,4,3,1,12
1,0,0,0,0,0,0,0,1,1,135000,25,1,4,4,3,1,8
0,1,0,0,0,1,0,0,2,10,135000,42,13,4,1,1,1,12
0,0,1,0,0,0,0,0,1,43,180000,57,11,4,4,4,1,8
0,0,1,1,1,0,0,1,3,20,157500,47,3,4,4,1,1,15
0,0,0,0,0,0,1,0,1,39,130500,66,0,1,4,2,1,12
0,1,1,0,0,0,0,0,2,19,117000,51,0,4,4,1,1,15
0,0,0,1,0,0,0,0,2,51,63000,43,22,4,4,1,1,8
0,0,1,0,0,0,0,0,1,12,180000,48,10,4,1,3,1,11
1,1,0,0,0,0,0,2,3,9,180000,42,6,0,4,2,5,8
1,1,0,1,1,0,0,0,2,33,225000,35,5,2,1,1,1,4
1,0,1,0,0,0,0,1,3,7,180000,28,2,0,4,1,1,8
0,0,1,0,0,0,0,1,3,8,180000,36,5,4,4,1,1,6
0,0,1,1,1,0,0,0,2,40,126000,59,6,4,4,1,1,8
0,0,1,1,1,0,0,0,1,16,180000,39,12,4,4,2,1,8
0,0,1,0,0,1,0,0,2,37,405000,47,13,0,4,1,1,15
0,0,0,1,0,0,0,0,2,24,67500,46,8,2,4,1,2,3
1,0,0,1,1,0,0,2,4,11,202500,28,2,4,4,0,1,12
0,1,1,0,0,0,0,0,1,10,180000,37,15,0,4,3,1,4
0,0,1,0,0,0,0,0,2,34,180000,47,11,2,4,1,1,12
1,1,1,0,0,0,0,0,2,9,202500,54,2,4,4,1,1,12
1,1,1,0,0,0,0,1,3,36,180000,37,10,0,4,1,1,8
0,1,0,0,1,0,1,0,2,43,135000,63,0,1,4,1,1,12
0,0,1,0,0,0,0,0,2,11,157500,50,4,0,4,1,1,18
1,0,1,0,0,0,1,0,2,15,135000,66,0,1,3,1,1,12
1,1,0,0,0,0,1,0,2,26,135000,57,0,1,4,1,1,12
0,1,0,0,0,0,0,2,4,14,270000,37,12,2,1,1,1,16
1,0,0,0,1,0,0,0,1,29,112500,32,9,4,4,3,1,8
1,0,1,0,0,0,0,1,3,49,112500,38,0,2,4,1,1,8
1,0,0,0,0,0,0,0,1,52,135000,26,2,4,2,3,1,8
0,0,1,0,0,0,0,3,5,26,292500,33,1,0,4,1,1,3
0,0,1,0,0,0,0,0,2,57,112500,63,1,4,4,1,1,12
0,1,1,0,1,0,1,0,2,31,157500,52,0,1,4,1,1,12
1,0,1,0,0,0,0,0,2,42,315000,53,3,4,4,1,1,8
1,0,1,0,0,1,0,0,2,26,270000,40,14,0,4,1,1,4
1,1,0,1,0,0,0,0,2,38,112500,48,7,4,4,1,1,15
0,0,0,0,0,0,0,1,3,33,202500,33,2,4,1,1,2,12
0,1,0,0,1,0,0,0,2,8,99000,40,14,4,4,1,1,2
0,0,1,1,0,0,0,2,3,33,67500,40,20,4,4,2,1,12
0,0,0,1,1,0,0,0,2,29,67500,54,6,4,4,1,1,8
0,0,1,0,0,0,0,1,2,16,180000,41,1,0,4,3,1,12
1,0,0,1,1,0,0,1,3,16,112500,24,1,4,4,1,1,8
0,1,1,0,0,0,0,2,4,12,175500,51,1,2,4,1,1,3
0,0,1,1,0,1,0,0,2,33,112500,40,8,0,1,1,2,15
0,0,1,0,0,1,0,0,2,12,135000,37,10,0,1,1,1,3
1,0,1,1,1,0,0,2,4,3,148500,43,12,0,4,1,2,8
0,0,1,1,0,0,0,2,4,0,112500,32,7,4,4,1,1,8
0,0,1,0,0,1,0,1,3,24,270000,37,12,0,4,1,1,0
0,0,0,1,0,0,0,0,1,4,135000,33,1,4,1,3,1,12
0,0,1,0,0,0,0,0,1,18,157500,60,29,4,1,3,1,8
0,0,1,0,0,1,1,0,1,42,54000,62,0,1,4,4,1,12
0,0,1,1,1,0,0,2,4,41,180000,35,12,4,1,1,1,6
0,1,1,0,0,1,0,1,3,23,166500,37,10,4,4,1,1,11
0,0,1,0,0,0,1,0,1,3,135000,50,0,1,4,3,1,12
0,0,0,0,0,0,1,0,2,17,90000,58,0,1,4,1,1,12
0,1,1,1,0,0,0,0,2,30,387000,56,1,4,1,1,1,10
1,0,1,0,0,0,0,0,2,53,225000,58,4,4,4,1,1,8
0,1,0,0,0,0,0,1,3,11,337500,28,7,4,1,1,1,12
0,1,1,0,0,0,0,0,2,3,180000,37,11,0,2,1,1,8
0,0,1,1,1,0,0,0,2,46,135000,62,7,0,4,1,1,11
0,1,1,0,0,0,0,0,2,31,360000,46,4,0,4,1,1,2
0,1,1,0,0,0,1,0,2,13,540000,58,0,1,1,1,1,12
0,0,1,0,0,0,0,1,2,50,135000,41,17,4,4,3,1,15
0,0,1,0,0,0,0,0,2,56,135000,59,5,4,4,1,1,5
0,0,1,0,1,0,1,0,2,48,112500,57,0,1,4,1,1,12
0,1,1,0,0,0,0,1,3,18,157500,43,3,4,4,1,1,8
1,1,1,0,0,0,0,0,2,47,360000,37,3,4,4,1,1,4
1,1,1,1,1,0,0,2,4,21,225000,40,14,4,4,1,1,12
0,1,0,0,0,0,0,1,3,29,225000,31,2,4,1,0,1,3
0,0,1,0,0,0,0,1,2,17,202500,48,12,4,4,2,1,8
0,0,1,0,0,0,0,0,2,22,112500,55,5,4,4,1,1,11
0,0,0,0,0,0,0,0,2,20,180000,56,0,1,4,0,2,8
0,0,1,0,0,1,0,1,3,9,180000,25,2,4,1,1,1,3
1,1,1,0,1,0,1,0,2,8,112500,56,0,1,1,1,1,12
0,0,1,0,0,1,0,1,3,30,135000,36,0,4,1,1,1,15
1,1,1,0,0,0,1,0,2,19,135000,64,0,1,4,1,1,12
1,1,0,1,0,0,0,2,4,29,162000,34,3,4,4,1,1,12
1,1,0,0,0,0,0,1,3,5,252000,46,14,4,4,1,1,4
1,0,1,0,0,0,0,0,2,40,112500,48,7,0,4,1,1,17
1,1,0,1,0,0,0,0,2,22,326250,32,0,0,1,1,1,10
1,1,1,0,0,0,0,0,2,14,180000,46,8,4,4,1,1,15
0,0,0,1,1,0,0,0,2,31,270000,55,3,2,4,1,1,18
0,0,1,0,1,0,0,0,1,39,315000,29,1,0,2,3,1,15
1,1,1,0,1,0,0,0,2,54,270000,60,4,4,4,1,1,14
0,1,1,0,0,0,1,0,2,18,90000,58,0,1,4,1,1,12
0,0,1,1,1,1,0,0,1,16,90000,23,0,4,2,3,1,15
1,1,0,0,0,0,0,1,3,45,180000,30,0,4,1,1,1,4
0,0,1,0,1,0,0,0,2,55,135000,40,15,0,4,1,1,12
1,1,1,0,0,0,1,1,3,26,180000,48,0,1,4,1,1,12
0,0,1,0,0,0,1,0,2,7,112500,63,0,1,4,1,1,12
1,1,1,0,0,0,0,0,2,41,315000,50,7,4,1,1,1,4
1,0,1,0,0,0,0,0,2,21,112500,54,15,4,1,0,1,17
0,0,0,0,0,0,0,0,2,47,202500,48,8,0,1,1,1,0
1,0,1,1,1,0,0,0,2,2,247500,24,0,4,4,0,1,10
0,0,1,0,0,0,0,3,5,15,135000,31,2,4,4,1,1,3
0,0,1,0,0,0,0,1,3,24,108000,28,9,4,4,1,1,12
0,0,1,0,0,0,0,2,4,19,135000,39,1,0,1,1,5,3
1,0,1,0,0,0,0,0,2,3,157500,25,0,4,4,0,5,8
1,1,0,0,0,0,0,1,2,17,270000,36,8,4,4,2,1,4
